cliente_id,edad,ingreso_anual_estimado,gasto_anual_total,frecuencia_compra_anual,meses_cliente,ticket_promedio,region
CLI-00077,38,6163343,426816,13,16,32832,Biobío
CLI-00078,44,27397994,1742308,18,28,96794,Valparaíso
CLI-00079,36,46156937,1619367,4,14,404841,Valparaíso
CLI-00080,33,36478976,3180907,9,57,353434,Valparaíso
CLI-00081,38,13404070,1159658,4,25,289914,Metropolitana
CLI-00082,35,159819049,6258515,1,39,6258515,Biobío
CLI-00083,49,28239611,1106777,3,16,368925,Biobío
CLI-00084,32,11994411,750554,9,24,83394,Metropolitana
CLI-00085,24,90911876,3456685,4,27,864171,Metropolitana
CLI-00086,27,21418114,1096630,11,3,99693,Biobío
CLI-00087,24,32078330,1652318,7,43,236045,Araucanía
CLI-00088,29,42826517,2606231,12,7,217185,Metropolitana
CLI-00089,18,8385706,615153,6,25,102525,Metropolitana
CLI-00090,28,20479707,1097217,1,51,1097217,Antofagasta
CLI-00091,29,24805270,1179111,2,14,589555,Metropolitana
CLI-00092,53,18221947,655668,27,4,24284,Metropolitana
CLI-00093,18,24951892,1111562,17,13,65386,Metropolitana
CLI-00094,58,61524260,2643515,1,37,2643515,Araucanía
CLI-00095,30,34423875,2765050,27,11,102409,Metropolitana
CLI-00096,51,95189640,3634321,31,77,117236,Metropolitana
CLI-00097,31,40123317,1750045,12,59,145837,Metropolitana
CLI-00098,41,16887021,1271694,3,52,423898,Araucanía
CLI-00099,22,30290513,1158438,5,12,231687,Metropolitana
CLI-00100,43,54202271,3539078,5,5,707815,Metropolitana
CLI-00101,35,137706209,5397895,2,32,2698947,Metropolitana
CLI-00102,31,40508902,1396186,14,11,99727,Biobío
CLI-00103,27,42893926,2499132,12,9,208261,Valparaíso
CLI-00104,45,22557961,854882,1,3,854882,Metropolitana
CLI-00105,47,51375650,2766421,1,26,2766421,Antofagasta
CLI-00106,26,87485979,4761646,8,91,595205,Biobío
CLI-00107,18,11933475,910229,10,13,91022,Metropolitana
CLI-00108,19,145404116,5155796,9,11,572866,Metropolitana
CLI-00109,23,100946250,5012212,26,14,192777,Metropolitana
CLI-00110,31,27400995,1402045,3,5,467348,Valparaíso
CLI-00111,41,5727988,498302,1,4,498302,Valparaíso
CLI-00112,33,64275231,3201391,7,67,457341,Metropolitana
CLI-00113,21,12849179,518142,2,7,259071,Metropolitana
CLI-00114,51,48811905,2714520,1,62,2714520,Metropolitana
CLI-00115,18,21213454,2003197,31,3,64619,Araucanía
CLI-00116,43,14690727,1015286,10,40,101528,Biobío
CLI-00117,31,63745675,3251155,11,90,295559,Araucanía
CLI-00118,20,7245404,372963,1,36,372963,Metropolitana
CLI-00119,38,87649710,3888886,1,3,3888886,Metropolitana
CLI-00120,46,20655212,1211354,5,47,242270,Metropolitana
CLI-00121,39,10818122,396463,17,8,23321,Araucanía
CLI-00122,30,14962136,1162975,16,38,72685,Metropolitana
CLI-00123,20,10922518,472497,1,32,472497,Metropolitana
CLI-00124,21,30131740,1078010,20,18,53900,Metropolitana
CLI-00125,30,21745603,1288603,1,9,1288603,Antofagasta
CLI-00126,25,23679624,2486716,8,30,310839,Metropolitana
CLI-00127,51,23582901,1418459,10,5,141845,Biobío
CLI-00128,18,131155914,4890947,35,27,139741,Antofagasta
CLI-00129,40,30990708,1835802,4,25,458950,Metropolitana
CLI-00130,38,42291469,3163888,2,23,1581944,Metropolitana
CLI-00131,26,19223888,1159546,4,19,289886,Metropolitana
CLI-00132,39,38704560,2869793,11,17,260890,Antofagasta
CLI-00133,35,20418832,785792,11,35,71435,Metropolitana
CLI-00134,26,16101179,1738972,6,7,289828,Valparaíso
CLI-00135,24,80806554,4979774,1,13,4979774,Metropolitana
CLI-00136,35,25289345,1899992,1,45,1899992,Biobío
CLI-00137,56,38915368,1481959,5,5,296391,Antofagasta
CLI-00138,47,26562780,1357763,11,7,123433,Valparaíso
CLI-00139,34,71973100,2322295,10,17,232229,Biobío
CLI-00140,47,19650237,1659105,8,3,207388,Metropolitana
CLI-00141,32,14551857,1009026,1,37,1009026,Biobío
CLI-00142,35,119375378,4453731,6,14,742288,Valparaíso
CLI-00143,18,72621838,4947092,1,32,4947092,Antofagasta
CLI-00144,35,40020271,1965975,33,75,59575,Metropolitana
CLI-00145,32,14374267,1307067,26,9,50271,Metropolitana
CLI-00146,41,32936871,1445460,1,46,1445460,Araucanía
CLI-00147,31,25614308,1561288,35,7,44608,Metropolitana
CLI-00148,48,12971131,538697,10,29,53869,Valparaíso
CLI-00149,33,15889224,766653,4,13,191663,Metropolitana
CLI-00150,18,75664903,4131451,1,6,4131451,Valparaíso
CLI-00151,18,56896197,1761871,11,7,160170,Metropolitana
CLI-00152,43,58604878,2012475,10,5,201247,Valparaíso
CLI-00153,41,12259203,1016039,18,6,56446,Metropolitana
CLI-00154,35,10522812,772665,1,18,772665,Biobío
CLI-00155,28,30549480,1194440,8,45,149305,Metropolitana
CLI-00156,39,9424572,750893,3,8,250297,Valparaíso
CLI-00157,19,186845521,7417960,4,102,1854490,Biobío
CLI-00158,36,94125320,4521456,1,9,4521456,Metropolitana
CLI-00159,27,11919865,610480,21,32,29070,Metropolitana
CLI-00160,30,56379841,2144924,15,75,142994,Metropolitana
CLI-00161,38,44858478,1469606,12,79,122467,Valparaíso
CLI-00162,18,32640872,2402728,2,18,1201364,Metropolitana
CLI-00163,39,11984636,561649,2,10,280824,Metropolitana
CLI-00164,29,43068835,2061242,1,21,2061242,Biobío
CLI-00165,31,35346731,1358101,13,14,104469,Valparaíso
CLI-00166,38,52379772,3264858,1,27,3264858,Araucanía
CLI-00167,33,33330026,1752964,2,13,876482,Valparaíso
CLI-00168,38,32229577,2434579,1,3,2434579,Metropolitana
CLI-00169,24,180920286,6130322,1,12,6130322,Valparaíso
CLI-00170,22,36752344,1444553,12,15,120379,Biobío
CLI-00171,42,15673565,904920,1,35,904920,Antofagasta
CLI-00172,39,12369468,643971,3,15,214657,Valparaíso
CLI-00173,31,99131910,7811548,32,4,244110,Valparaíso
CLI-00174,36,66615610,2182995,13,28,167922,Biobío
CLI-00175,22,11379520,533375,14,16,38098,Valparaíso
CLI-00176,52,60190849,1874873,13,35,144221,Valparaíso
CLI-00177,18,52163688,2714325,14,4,193880,Araucanía
CLI-00178,40,13211308,1057325,4,3,264331,Valparaíso
CLI-00179,42,95880202,3039695,2,8,1519847,Metropolitana
CLI-00180,36,53801279,2569968,10,55,256996,Valparaíso
CLI-00181,18,63393906,2464851,7,44,352121,Metropolitana
CLI-00182,49,37023003,1350441,6,7,225073,Metropolitana
CLI-00183,18,17599971,801744,3,10,267248,Araucanía
CLI-00184,40,27334445,1310646,8,22,163830,Metropolitana
CLI-00185,21,69279708,4628938,3,17,1542979,Biobío
CLI-00186,33,25782701,1216600,7,34,173800,Metropolitana
CLI-00187,37,4332927,304657,25,23,12186,Antofagasta
CLI-00188,24,13012706,1148733,6,7,191455,Metropolitana
CLI-00189,31,23422397,804558,28,3,28734,Metropolitana
CLI-00190,38,55540485,1826880,3,13,608960,Metropolitana
CLI-00191,36,61908137,3555774,8,12,444471,Araucanía
CLI-00192,20,29238360,1559400,14,8,111385,Metropolitana
CLI-00193,36,8929684,446140,4,9,111535,Metropolitana
CLI-00194,35,43672187,1341392,6,21,223565,Araucanía
CLI-00195,24,50827949,2063222,7,75,294746,Antofagasta
CLI-00196,45,64622731,2395754,2,12,1197877,Metropolitana
CLI-00197,42,76436886,2765715,3,28,921905,Metropolitana
CLI-00198,37,16328121,607038,31,13,19581,Antofagasta
CLI-00199,28,51396696,3851779,1,22,3851779,Valparaíso
CLI-00200,24,20444742,1587894,14,6,113421,Antofagasta
CLI-00201,25,19694454,911451,6,21,151908,Valparaíso
CLI-00202,33,29583555,2091563,5,33,418312,Valparaíso
CLI-00203,35,32476138,1970074,1,7,1970074,Metropolitana
CLI-00204,30,11599959,968476,44,28,22010,Araucanía
CLI-00205,51,7960150,457654,4,24,114413,Araucanía
CLI-00206,38,120709907,5567236,17,11,327484,Valparaíso
CLI-00207,28,3933971,333562,4,5,83390,Metropolitana
CLI-00208,58,56971351,1754022,17,115,103177,Metropolitana
CLI-00209,45,35076410,1695812,1,29,1695812,Biobío
CLI-00210,23,10448322,1002690,16,18,62668,Araucanía
CLI-00211,28,139132255,6745187,8,9,843148,Metropolitana
CLI-00212,46,46702312,2185291,5,24,437058,Metropolitana
CLI-00213,39,32589903,1200487,31,18,38725,Metropolitana
CLI-00214,39,5986750,548939,2,50,274469,Antofagasta
CLI-00215,50,3674268,251722,1,14,251722,Metropolitana
CLI-00216,36,26966028,1162239,2,64,581119,Metropolitana
CLI-00217,43,16724407,1231795,16,44,76987,Metropolitana
CLI-00218,52,74447350,3928648,8,5,491081,Biobío
CLI-00219,35,12975182,608343,10,13,60834,Metropolitana
CLI-00220,69,115720223,6384176,24,10,266007,Araucanía
CLI-00221,31,21889555,1731848,1,5,1731848,Valparaíso
CLI-00222,23,10431577,906505,3,11,302168,Araucanía
CLI-00223,26,40806344,1743822,14,20,124558,Metropolitana
CLI-00224,27,17129315,833250,3,16,277750,Metropolitana
CLI-00225,39,67382916,2119306,6,20,353217,Metropolitana
CLI-00226,37,20755449,1409161,5,46,281832,Antofagasta
CLI-00227,31,76195763,3097670,44,13,70401,Valparaíso
CLI-00228,33,19442646,1216745,1,48,1216745,Metropolitana
CLI-00229,34,48791312,1842864,1,86,1842864,Metropolitana
CLI-00230,30,19186394,659550,11,20,59959,Metropolitana
CLI-00231,41,112524661,4159300,10,5,415930,Araucanía
CLI-00232,42,7676956,732631,1,20,732631,Metropolitana
CLI-00233,27,72158528,4103112,1,22,4103112,Metropolitana
CLI-00234,35,37627168,1922710,8,7,240338,Biobío
CLI-00235,39,25988727,844283,5,45,168856,Valparaíso
CLI-00236,36,32433466,1070841,10,3,107084,Metropolitana
CLI-00237,25,52447852,1553207,1,13,1553207,Metropolitana
CLI-00238,18,56702546,2316357,9,33,257373,Araucanía
CLI-00239,30,68087928,2202979,1,37,2202979,Valparaíso
CLI-00240,36,37031784,1218513,2,40,609256,Araucanía
CLI-00241,25,18499329,896845,2,3,448422,Metropolitana
CLI-00242,42,59432222,1797892,11,23,163444,Biobío
CLI-00243,44,9859122,831335,2,30,415667,Metropolitana
CLI-00244,40,34911510,2220257,6,5,370042,Metropolitana
CLI-00245,34,12555366,949361,7,7,135623,Araucanía
CLI-00246,53,15086099,969266,1,3,969266,Antofagasta
CLI-00247,32,13386831,492613,2,9,246306,Biobío
CLI-00248,31,27166928,2269696,1,36,2269696,Metropolitana
CLI-00249,35,45456038,1766460,14,14,126175,Metropolitana
CLI-00250,32,24734943,950442,4,22,237610,Biobío
CLI-00251,23,24108655,1162521,32,21,36328,Valparaíso
CLI-00252,34,11010931,472557,33,17,14319,Valparaíso
CLI-00253,49,8974632,766417,4,16,191604,Biobío
CLI-00254,18,64077385,2044567,3,25,681522,Biobío
CLI-00255,18,102575996,4030352,2,30,2015176,Valparaíso
CLI-00256,18,108442710,5473807,1,15,5473807,Araucanía
CLI-00257,18,27727580,1760478,2,20,880239,Araucanía
CLI-00258,48,20495835,1174790,10,17,117479,Metropolitana
CLI-00259,47,20697921,1645438,8,25,205679,Antofagasta
CLI-00260,22,27181763,1708012,1,14,1708012,Valparaíso
CLI-00261,29,12015611,589301,1,8,589301,Biobío
CLI-00262,18,17049765,826193,2,8,413096,Biobío
CLI-00263,25,28650047,1165747,22,6,52988,Araucanía
CLI-00264,31,14907917,1154596,18,115,64144,Metropolitana
CLI-00265,28,35330362,1447832,21,16,68944,Metropolitana
CLI-00266,35,44869323,3467587,12,21,288965,Biobío
CLI-00267,29,19029339,1411034,2,48,705517,Metropolitana
CLI-00268,24,11237872,586190,15,23,39079,Valparaíso
CLI-00269,35,17776678,883388,10,21,88338,Antofagasta
CLI-00270,32,16684096,1039356,9,51,115484,Biobío
CLI-00271,49,36966050,1496585,8,6,187073,Araucanía
CLI-00272,32,16060210,905832,7,22,129404,Metropolitana
CLI-00273,40,7975228,319653,20,32,15982,Biobío
CLI-00274,27,85245963,4506004,1,38,4506004,Araucanía
CLI-00275,35,15659362,785590,13,58,60430,Metropolitana
CLI-00276,38,24791661,969873,27,29,35921,Metropolitana
CLI-00277,52,37327500,2074521,1,44,2074521,Metropolitana
CLI-00278,43,51616606,3639467,3,24,1213155,Biobío
CLI-00279,30,57517772,1813324,7,18,259046,Biobío
CLI-00280,29,40619415,2314941,11,17,210449,Metropolitana
CLI-00281,38,43537502,2536725,35,7,72477,Araucanía
CLI-00282,45,36902105,1790438,4,38,447609,Biobío
CLI-00283,23,33114002,2636489,3,9,878829,Biobío
CLI-00284,38,37722335,1663355,2,11,831677,Araucanía
CLI-00285,22,13802141,776395,8,19,97049,Metropolitana
CLI-00286,42,18515999,1852099,1,5,1852099,Metropolitana
CLI-00287,18,45586783,1891829,4,25,472957,Antofagasta
CLI-00288,41,16968159,629233,3,4,209744,Araucanía
CLI-00289,23,37555206,2958587,19,81,155715,Araucanía
CLI-00290,30,38770315,1500412,18,39,83356,Antofagasta
CLI-00291,18,61141892,2575236,1,12,2575236,Antofagasta
CLI-00292,52,17309977,1477276,1,61,1477276,Biobío
CLI-00293,28,125518923,4862504,2,20,2431252,Metropolitana
CLI-00294,27,70159425,2763245,6,28,460540,Biobío
CLI-00295,38,32612345,1973346,2,29,986673,Metropolitana
CLI-00296,18,17111102,988222,7,24,141174,Metropolitana
CLI-00297,34,15557871,1171581,4,4,292895,Metropolitana
CLI-00298,50,9576209,324871,9,3,36096,Araucanía
CLI-00299,43,85818534,3990241,12,20,332520,Biobío
CLI-00300,53,66186684,3100890,6,37,516815,Antofagasta
CLI-00301,22,30883702,1301900,2,5,650950,Araucanía
CLI-00302,44,11507948,858623,1,25,858623,Araucanía
CLI-00303,22,49634059,3143577,7,45,449082,Araucanía
CLI-00304,18,63591994,3388342,5,14,677668,Araucanía
CLI-00305,38,9546539,730271,10,4,73027,Metropolitana
CLI-00306,55,48980008,2181438,2,8,1090719,Metropolitana
CLI-00307,48,70103147,3362656,8,40,420332,Biobío
CLI-00308,21,18051741,1690492,2,24,845246,Metropolitana
CLI-00309,32,14605393,1139223,1,18,1139223,Metropolitana
CLI-00310,44,48524618,1527515,8,3,190939,Metropolitana
CLI-00311,40,36872855,1475555,12,19,122962,Metropolitana
CLI-00312,35,58840185,4091984,2,6,2045992,Biobío
CLI-00313,18,26988745,1744125,1,33,1744125,Metropolitana
CLI-00314,28,18474797,1090408,1,7,1090408,Metropolitana
CLI-00315,36,57401299,2035624,1,40,2035624,Metropolitana
CLI-00316,24,66572417,4438444,2,3,2219222,Metropolitana
CLI-00317,38,60360110,2243729,10,8,224372,Biobío
CLI-00318,25,5688117,489406,9,10,54378,Metropolitana
CLI-00319,30,13501286,594096,20,88,29704,Metropolitana
CLI-00320,31,15168385,738290,6,17,123048,Biobío
CLI-00321,43,34684678,1960356,13,5,150796,Araucanía
CLI-00322,47,31334518,2155553,4,30,538888,Metropolitana
CLI-00323,35,32885253,3038580,3,8,1012860,Valparaíso
CLI-00324,47,21990560,987426,19,20,51969,Metropolitana
CLI-00325,59,30662379,1737836,1,8,1737836,Metropolitana
CLI-00326,36,102693045,4783567,33,3,144956,Metropolitana
CLI-00327,32,97414270,3635873,2,66,1817936,Araucanía
CLI-00328,24,35146733,2473465,3,60,824488,Araucanía
CLI-00329,30,8984268,461328,11,5,41938,Antofagasta
CLI-00330,46,51535076,1947047,4,7,486761,Metropolitana
CLI-00331,29,23744173,1087187,4,66,271796,Metropolitana
CLI-00332,33,15497015,1085765,2,26,542882,Metropolitana
CLI-00333,53,13547269,649370,9,3,72152,Metropolitana
CLI-00334,26,53340751,1802170,1,26,1802170,Valparaíso
CLI-00335,42,12170226,704969,7,12,100709,Metropolitana
CLI-00336,29,140510265,5798173,19,5,305167,Araucanía
CLI-00337,18,40231392,1225018,2,9,612509,Araucanía
CLI-00338,45,118888622,3926373,6,10,654395,Biobío
CLI-00339,33,39501214,3142828,6,20,523804,Antofagasta
CLI-00340,50,19769607,1470802,7,3,210114,Valparaíso
CLI-00341,28,34648020,1530404,3,71,510134,Metropolitana
CLI-00342,21,27364526,1904648,12,19,158720,Metropolitana
CLI-00343,36,30795530,1564137,1,22,1564137,Antofagasta
CLI-00344,38,19371300,928112,1,16,928112,Metropolitana
CLI-00345,48,40274580,3487820,73,31,47778,Biobío
CLI-00346,34,29528146,1471346,5,25,294269,Metropolitana
CLI-00347,35,14968375,1195489,3,17,398496,Valparaíso
CLI-00348,47,10407529,632233,16,21,39514,Metropolitana
CLI-00349,30,62789574,5088344,2,55,2544172,Valparaíso
CLI-00350,49,17937932,1537487,13,19,118268,Metropolitana
CLI-00351,22,64482991,2066765,15,52,137784,Metropolitana
CLI-00352,38,22066731,772658,70,34,11037,Metropolitana
CLI-00353,41,25148683,2139274,8,3,267409,Biobío
CLI-00354,27,38197851,1261569,13,120,97043,Metropolitana
CLI-00355,40,27119608,1330859,1,35,1330859,Antofagasta
CLI-00356,18,23246635,1823710,28,35,65132,Araucanía
CLI-00357,34,16258141,774459,1,10,774459,Metropolitana
CLI-00358,28,12062524,816346,12,29,68028,Metropolitana
CLI-00359,24,13637462,911374,1,24,911374,Metropolitana
CLI-00360,24,18655290,936220,17,8,55071,Antofagasta
CLI-00361,34,58631284,1852747,2,82,926373,Araucanía
CLI-00362,19,8977089,500545,19,32,26344,Araucanía
CLI-00363,18,55233570,2518977,28,11,89963,Metropolitana
CLI-00364,46,41053894,2809499,6,12,468249,Antofagasta
CLI-00365,37,51149705,1470321,12,20,122526,Araucanía
CLI-00366,28,39571127,2202031,1,20,2202031,Biobío
CLI-00367,42,81490029,4040556,5,41,808111,Metropolitana
CLI-00368,42,53859316,1732659,24,7,72194,Valparaíso
CLI-00369,42,23236401,1819647,6,86,303274,Metropolitana
CLI-00370,24,36367053,1968547,4,53,492136,Antofagasta
CLI-00371,30,20145438,1042395,6,10,173732,Antofagasta
CLI-00372,32,109072185,3756805,4,5,939201,Antofagasta
CLI-00373,27,90097554,3423860,11,27,311260,Metropolitana
CLI-00374,23,14094756,1011490,8,13,126436,Biobío
CLI-00375,27,14833776,1219273,7,11,174181,Metropolitana
CLI-00376,37,13787621,861490,5,4,172298,Araucanía
CLI-00377,42,7376559,727677,9,32,80853,Antofagasta
CLI-00378,39,34214510,1549938,5,5,309987,Metropolitana
CLI-00379,29,17166269,1742219,1,28,1742219,Metropolitana
CLI-00380,32,28665317,1076795,15,13,71786,Araucanía
CLI-00381,40,18788827,1615524,1,22,1615524,Biobío
CLI-00382,57,27778508,1046168,2,46,523084,Metropolitana
CLI-00383,47,66613072,4322634,2,18,2161317,Metropolitana
CLI-00384,28,24380512,955027,11,6,86820,Antofagasta
CLI-00385,37,27457201,921721,12,3,76810,Valparaíso
CLI-00386,27,28590780,1083737,2,4,541868,Valparaíso
CLI-00387,29,16532944,1093240,1,30,1093240,Biobío
CLI-00388,32,11818510,655750,2,26,327875,Valparaíso
CLI-00389,18,10369929,489040,2,5,244520,Biobío
CLI-00390,32,42257656,2428441,3,49,809480,Metropolitana
CLI-00391,55,72516854,3436534,10,5,343653,Antofagasta
CLI-00392,34,14543930,701122,51,18,13747,Metropolitana
CLI-00393,42,10063196,314847,4,14,78711,Metropolitana
CLI-00394,28,45274329,1901177,22,18,86417,Araucanía
CLI-00395,30,76587435,2994864,34,82,88084,Biobío
CLI-00396,24,20931327,923033,18,13,51279,Valparaíso
CLI-00397,43,19852495,1316092,1,7,1316092,Metropolitana
CLI-00398,36,103893384,4831840,7,13,690262,Metropolitana
CLI-00399,47,86776543,3130372,21,13,149065,Antofagasta
CLI-00400,33,119440248,3886810,1,8,3886810,Metropolitana
CLI-00401,23,5948584,422644,4,34,105661,Biobío
CLI-00402,37,10990857,990385,2,40,495192,Metropolitana
CLI-00403,31,46285058,1949163,2,67,974581,Antofagasta
CLI-00404,32,8327106,460239,16,3,28764,Araucanía
CLI-00405,41,14163425,746623,1,7,746623,Antofagasta
CLI-00406,28,69027636,3333387,1,3,3333387,Biobío
CLI-00407,34,16570644,1717057,11,14,156096,Biobío
CLI-00408,18,6464463,353807,1,9,353807,Metropolitana
CLI-00409,33,47372268,2460137,8,13,307517,Araucanía
CLI-00410,40,21176443,962323,19,32,50648,Metropolitana
CLI-00411,34,17762471,1056092,3,76,352030,Metropolitana
CLI-00412,18,23279934,1984578,8,35,248072,Valparaíso
CLI-00413,37,126287338,5289528,6,59,881588,Metropolitana
CLI-00414,30,25360704,1243885,1,44,1243885,Valparaíso
CLI-00415,34,35921109,3078873,51,4,60370,Metropolitana
CLI-00416,32,117666911,5415404,11,20,492309,Metropolitana
CLI-00417,49,26994752,1245620,8,25,155702,Biobío
CLI-00418,32,47180411,2450924,4,9,612731,Biobío
CLI-00419,28,7933234,419249,14,20,29946,Metropolitana
CLI-00420,37,9947516,436106,2,12,218053,Metropolitana
CLI-00421,24,27326419,1539188,7,47,219884,Metropolitana
CLI-00422,19,34388197,1596423,8,44,199552,Metropolitana
CLI-00423,26,23944109,1257469,8,7,157183,Metropolitana
CLI-00424,36,50356202,2496846,9,15,277427,Antofagasta
CLI-00425,49,17528432,694936,12,23,57911,Valparaíso
CLI-00426,43,73803120,2456157,6,4,409359,Metropolitana
CLI-00427,38,11133821,499337,4,15,124834,Metropolitana
CLI-00428,36,39101085,1586933,15,3,105795,Valparaíso
CLI-00429,48,14339887,848533,10,49,84853,Metropolitana
CLI-00430,25,78898553,2648093,9,36,294232,Araucanía
CLI-00431,29,46010826,2197999,13,22,169076,Metropolitana
CLI-00432,47,21842267,795417,2,41,397708,Metropolitana
CLI-00433,28,61635100,2258847,3,10,752949,Metropolitana
CLI-00434,21,36194752,1921769,5,118,384353,Valparaíso
CLI-00435,36,13191137,705233,7,36,100747,Metropolitana
CLI-00436,45,25543528,832009,12,112,69334,Valparaíso
CLI-00437,40,58452583,4081741,12,16,340145,Metropolitana
CLI-00438,44,6314498,569453,14,12,40675,Araucanía
CLI-00439,34,43623382,2749517,1,24,2749517,Metropolitana
CLI-00440,23,58416870,2390594,4,12,597648,Araucanía
CLI-00441,43,93550398,2915627,2,29,1457813,Araucanía
CLI-00442,26,35281821,1634131,5,58,326826,Biobío
CLI-00443,25,6297105,468012,1,3,468012,Metropolitana
CLI-00444,28,7125109,328279,6,25,54713,Araucanía
CLI-00445,32,13670139,963874,8,12,120484,Valparaíso
CLI-00446,39,22973157,1303688,1,14,1303688,Biobío
CLI-00447,23,22655471,886043,14,11,63288,Biobío
CLI-00448,36,79272067,3831888,7,71,547412,Araucanía
CLI-00449,43,101327875,6838471,33,46,207226,Metropolitana
CLI-00450,32,4989075,282458,12,8,23538,Antofagasta
CLI-00451,18,8923912,808952,13,11,62227,Metropolitana
CLI-00452,52,8782603,725599,1,8,725599,Valparaíso
CLI-00453,38,35191949,2504798,7,7,357828,Metropolitana
CLI-00454,32,18705303,903815,7,3,129116,Metropolitana
CLI-00455,30,39939376,2859082,7,7,408440,Valparaíso
CLI-00456,41,16120255,1061357,21,41,50540,Metropolitana
