cliente_id,edad,meses_cliente,gasto_mensual_promedio,frecuencia_compra_mensual,tickets_soporte,categoria_preferida,region,ultima_compra_dias,se_queda
CLI-00059,42,23,112544,2.74,0,Mini PCs / SBC,Biobío,5,1
CLI-00060,34,20,210528,0.51,1,Laptops Vintage,Metropolitana,85,1
CLI-00061,27,40,45080,0.88,1,Laptops Compactas,Valparaíso,39,1
CLI-00062,46,23,131273,1.37,0,Mini PCs / SBC,Valparaíso,77,1
CLI-00063,28,59,98643,0.39,1,Laptops Compactas,Biobío,70,0
CLI-00064,43,44,101426,0.35,3,Mini PCs / SBC,Valparaíso,32,1
CLI-00065,40,51,56358,0.1,0,ThinkPad Business,Metropolitana,54,1
CLI-00066,40,8,142095,1.11,2,Laptops Compactas,Valparaíso,9,1
CLI-00067,32,13,149081,3.08,1,Tarjetas Gráficas,Metropolitana,14,1
CLI-00068,47,15,52890,0.51,1,ThinkPad Business,Metropolitana,58,1
CLI-00069,32,13,311198,0.1,0,Tarjetas Gráficas,Biobío,32,1
CLI-00070,24,98,59328,0.15,0,Laptops Vintage,Araucanía,21,0
CLI-00071,42,35,18377,1.79,0,Mini PCs / SBC,Biobío,20,0
CLI-00072,26,11,113749,0.23,0,Tarjetas Gráficas,Metropolitana,27,1
CLI-00073,50,10,193864,0.67,0,Tarjetas Gráficas,Metropolitana,54,1
CLI-00074,29,47,302300,0.27,1,ThinkPad Business,Araucanía,48,0
CLI-00075,30,45,395218,1.21,1,ThinkPad Business,Biobío,12,1
CLI-00076,26,40,117559,0.56,0,Laptops Compactas,Biobío,2,1
CLI-00077,38,16,36323,1.2,1,Tarjetas Gráficas,Biobío,9,0
CLI-00078,44,28,164435,1.52,1,Laptops Vintage,Valparaíso,3,1
CLI-00079,36,14,154580,0.5,1,ThinkPad Business,Valparaíso,82,0
CLI-00080,33,57,234002,0.9,2,Laptops Compactas,Valparaíso,8,1
CLI-00081,38,25,107784,0.31,0,Tarjetas Gráficas,Metropolitana,24,0
CLI-00082,35,39,458228,0.1,1,Mini PCs / SBC,Biobío,21,1
CLI-00083,49,16,104413,0.36,2,Mini PCs / SBC,Biobío,108,1
CLI-00084,32,24,65099,0.73,0,Mini PCs / SBC,Metropolitana,61,0
CLI-00085,24,27,322712,0.45,0,Laptops Compactas,Metropolitana,11,1
CLI-00086,27,3,91140,1.12,1,Mini PCs / SBC,Biobío,8,1
CLI-00087,24,43,142323,0.76,0,Laptops Vintage,Araucanía,20,0
CLI-00088,29,7,199826,1.05,3,Laptops Compactas,Metropolitana,19,1
CLI-00089,18,25,56635,0.56,0,Laptops Vintage,Metropolitana,7,1
CLI-00090,28,51,95562,0.1,0,Laptops Compactas,Antofagasta,107,0
CLI-00091,29,14,93059,0.1,1,Mini PCs / SBC,Metropolitana,5,1
CLI-00092,53,4,50944,2.29,3,Tarjetas Gráficas,Metropolitana,11,0
CLI-00093,18,13,100249,1.41,0,ThinkPad Business,Metropolitana,67,0
CLI-00094,58,37,230564,0.18,1,Laptops Compactas,Araucanía,172,1
CLI-00095,30,11,210198,2.23,0,Mini PCs / SBC,Metropolitana,37,1
CLI-00096,51,77,285974,2.57,0,ThinkPad Business,Metropolitana,14,1
CLI-00097,31,59,171351,1.01,1,Mini PCs / SBC,Metropolitana,24,1
CLI-00098,41,52,101086,0.35,1,Laptops Vintage,Araucanía,25,0
CLI-00099,22,12,104536,0.38,0,Laptops Compactas,Metropolitana,18,0
CLI-00100,43,5,292632,0.44,2,Tarjetas Gráficas,Metropolitana,14,0
CLI-00101,35,32,398363,0.29,0,Tarjetas Gráficas,Metropolitana,40,1
CLI-00102,31,11,115818,1.26,1,Tarjetas Gráficas,Biobío,19,1
CLI-00103,27,9,210381,0.91,1,Laptops Compactas,Valparaíso,79,1
CLI-00104,45,3,64824,0.1,0,Mini PCs / SBC,Metropolitana,33,0
CLI-00105,47,26,234235,0.1,1,Tarjetas Gráficas,Antofagasta,44,1
CLI-00106,26,91,352651,0.59,3,Tarjetas Gráficas,Biobío,29,1
CLI-00107,18,13,82212,0.85,0,Laptops Vintage,Metropolitana,35,1
CLI-00108,19,11,438218,0.73,3,Laptops Vintage,Metropolitana,10,1
CLI-00109,23,14,408944,2.19,0,Laptops Compactas,Metropolitana,11,1
CLI-00110,31,5,121695,0.38,2,Laptops Compactas,Valparaíso,13,0
CLI-00111,41,4,36310,0.1,0,Tarjetas Gráficas,Valparaíso,9,0
CLI-00112,33,67,259463,0.58,3,Laptops Compactas,Metropolitana,46,1
CLI-00113,21,7,45523,0.2,0,Tarjetas Gráficas,Metropolitana,55,0
CLI-00114,51,62,212266,0.1,1,Laptops Vintage,Metropolitana,152,1
CLI-00115,18,3,169502,2.62,1,Tarjetas Gráficas,Araucanía,52,1
CLI-00116,43,40,82012,0.85,1,Tarjetas Gráficas,Biobío,19,1
CLI-00117,31,90,300792,0.94,0,Laptops Vintage,Araucanía,65,1
CLI-00118,20,36,29770,0.1,1,Tarjetas Gráficas,Metropolitana,9,1
CLI-00119,38,3,303912,0.1,1,Laptops Vintage,Metropolitana,31,1
CLI-00120,46,47,106544,0.43,0,Tarjetas Gráficas,Metropolitana,13,1
CLI-00121,39,8,34098,1.22,2,Laptops Compactas,Araucanía,16,0
CLI-00122,30,38,87812,1.26,1,Tarjetas Gráficas,Metropolitana,27,0
CLI-00123,20,32,44391,0.13,0,ThinkPad Business,Metropolitana,31,0
CLI-00124,21,18,92189,1.76,0,Mini PCs / SBC,Metropolitana,12,1
CLI-00125,30,9,109386,0.11,1,Tarjetas Gráficas,Antofagasta,58,1
CLI-00126,25,30,183568,0.71,0,Mini PCs / SBC,Metropolitana,41,1
CLI-00127,51,5,109415,0.87,0,Mini PCs / SBC,Biobío,34,1
CLI-00128,18,27,373485,3.02,0,Tarjetas Gráficas,Antofagasta,3,1
CLI-00129,40,25,142184,0.36,0,Tarjetas Gráficas,Metropolitana,93,1
CLI-00130,38,23,251197,0.3,0,Tarjetas Gráficas,Metropolitana,111,1
CLI-00131,26,19,94288,0.39,1,Laptops Vintage,Metropolitana,9,1
CLI-00132,39,17,237328,0.89,0,ThinkPad Business,Antofagasta,143,0
CLI-00133,35,35,76753,1.0,0,Laptops Vintage,Metropolitana,49,0
CLI-00134,26,7,133411,0.55,1,Mini PCs / SBC,Valparaíso,8,0
CLI-00135,24,13,425883,0.1,0,Laptops Vintage,Metropolitana,226,0
CLI-00136,35,45,167224,0.1,0,ThinkPad Business,Biobío,8,1
CLI-00137,56,5,125107,0.46,0,Mini PCs / SBC,Antofagasta,7,1
CLI-00138,47,7,100358,0.84,2,Tarjetas Gráficas,Valparaíso,48,0
CLI-00139,34,17,219414,0.93,1,Tarjetas Gráficas,Biobío,20,1
CLI-00140,47,3,144169,0.68,1,ThinkPad Business,Metropolitana,56,1
CLI-00141,32,37,96782,0.29,0,Laptops Vintage,Biobío,5,1
CLI-00142,35,14,350573,0.51,0,Mini PCs / SBC,Valparaíso,17,1
CLI-00143,18,32,390856,0.14,1,Mini PCs / SBC,Antofagasta,46,1
CLI-00144,35,75,142547,2.75,0,Tarjetas Gráficas,Metropolitana,24,1
CLI-00145,32,9,103546,2.28,0,ThinkPad Business,Metropolitana,16,1
CLI-00146,41,46,109332,0.1,0,Laptops Compactas,Araucanía,61,1
CLI-00147,31,7,121851,3.02,0,Laptops Compactas,Metropolitana,1,0
CLI-00148,48,29,39758,1.06,0,ThinkPad Business,Valparaíso,13,1
CLI-00149,33,13,71509,0.52,1,Laptops Vintage,Metropolitana,49,0
CLI-00150,18,6,300961,0.11,2,Laptops Vintage,Valparaíso,31,1
CLI-00151,18,7,168275,0.96,1,Laptops Vintage,Metropolitana,54,0
CLI-00152,43,5,179302,0.89,0,Tarjetas Gráficas,Valparaíso,5,0
CLI-00153,41,6,83192,1.49,1,Mini PCs / SBC,Metropolitana,15,1
CLI-00154,35,18,69881,0.17,0,Tarjetas Gráficas,Biobío,54,1
CLI-00155,28,45,95425,0.6,0,ThinkPad Business,Metropolitana,45,0
CLI-00156,39,8,60763,0.48,1,Mini PCs / SBC,Valparaíso,4,0
CLI-00157,19,102,600000,0.28,0,Laptops Vintage,Biobío,87,1
CLI-00158,36,9,335027,0.16,0,Laptops Compactas,Metropolitana,124,0
CLI-00159,27,32,47335,1.71,0,ThinkPad Business,Metropolitana,14,1
CLI-00160,30,75,177666,1.32,1,Tarjetas Gráficas,Metropolitana,9,1
CLI-00161,38,79,138984,1.03,1,Tarjetas Gráficas,Valparaíso,36,0
CLI-00162,18,18,222041,0.41,2,Laptops Compactas,Metropolitana,115,1
CLI-00163,39,10,51406,0.26,0,Laptops Vintage,Metropolitana,40,1
CLI-00164,29,21,169915,0.1,2,Laptops Compactas,Biobío,79,0
CLI-00165,31,14,124648,1.0,1,Laptops Vintage,Valparaíso,136,0
CLI-00166,38,27,274122,0.1,0,ThinkPad Business,Araucanía,41,1
CLI-00167,33,13,155968,0.19,1,Mini PCs / SBC,Valparaíso,17,1
CLI-00168,38,3,213851,0.12,0,Mini PCs / SBC,Metropolitana,52,1
CLI-00169,24,12,544552,0.1,0,Laptops Vintage,Valparaíso,149,1
CLI-00170,22,15,107208,0.99,1,Laptops Compactas,Biobío,1,1
CLI-00171,42,35,73661,0.1,0,Mini PCs / SBC,Antofagasta,23,0
CLI-00172,39,15,56151,0.44,0,ThinkPad Business,Valparaíso,97,0
CLI-00173,31,4,594643,2.77,1,Mini PCs / SBC,Valparaíso,134,1
CLI-00174,36,28,185476,1.07,0,Tarjetas Gráficas,Biobío,28,1
CLI-00175,22,16,44464,1.15,1,Tarjetas Gráficas,Valparaíso,3,1
CLI-00176,52,35,181702,1.12,2,ThinkPad Business,Valparaíso,54,1
CLI-00177,18,4,199380,1.19,0,ThinkPad Business,Araucanía,49,0
CLI-00178,40,3,89349,0.38,2,ThinkPad Business,Valparaíso,28,0
CLI-00179,42,8,273727,0.31,1,Laptops Compactas,Metropolitana,50,1
CLI-00180,36,55,216538,0.85,0,Tarjetas Gráficas,Valparaíso,36,0
CLI-00181,18,44,231379,0.6,0,Mini PCs / SBC,Metropolitana,18,1
CLI-00182,49,7,125136,0.54,1,Mini PCs / SBC,Metropolitana,56,1
CLI-00183,18,10,77040,0.22,3,Mini PCs / SBC,Araucanía,17,1
CLI-00184,40,22,121087,0.77,0,Laptops Vintage,Metropolitana,24,1
CLI-00185,21,17,407660,0.21,1,Laptops Vintage,Biobío,60,1
CLI-00186,33,34,108659,0.63,1,Laptops Compactas,Metropolitana,217,0
CLI-00187,37,23,29621,2.04,0,Tarjetas Gráficas,Antofagasta,1,1
CLI-00188,24,7,91069,0.53,1,ThinkPad Business,Metropolitana,14,0
CLI-00189,31,3,73207,2.29,0,ThinkPad Business,Metropolitana,9,1
CLI-00190,38,13,178073,0.37,1,Tarjetas Gráficas,Metropolitana,30,1
CLI-00191,36,12,322674,0.7,2,Mini PCs / SBC,Araucanía,14,1
CLI-00192,20,8,118047,1.26,0,Laptops Vintage,Metropolitana,42,0
CLI-00193,36,9,40827,0.42,3,Tarjetas Gráficas,Metropolitana,20,0
CLI-00194,35,21,127661,0.59,1,ThinkPad Business,Araucanía,13,1
CLI-00195,24,75,171566,0.56,0,Laptops Compactas,Antofagasta,35,1
CLI-00196,45,12,212788,0.24,0,Laptops Compactas,Metropolitana,99,1
CLI-00197,42,28,250770,0.18,1,Laptops Compactas,Metropolitana,120,1
CLI-00198,37,13,55118,2.46,2,ThinkPad Business,Antofagasta,182,1
CLI-00199,28,22,299007,0.1,1,Tarjetas Gráficas,Valparaíso,42,1
CLI-00200,24,6,135148,1.24,2,ThinkPad Business,Antofagasta,64,0
CLI-00201,25,21,79434,0.6,1,ThinkPad Business,Valparaíso,38,1
CLI-00202,33,33,198071,0.45,0,Laptops Compactas,Valparaíso,18,1
CLI-00203,35,7,191914,0.1,1,Mini PCs / SBC,Metropolitana,59,1
CLI-00204,30,28,75645,3.6,0,Laptops Compactas,Araucanía,52,0
CLI-00205,51,24,33350,0.33,0,Mini PCs / SBC,Araucanía,1,1
CLI-00206,38,11,475247,1.3,0,Laptops Compactas,Valparaíso,1,1
CLI-00207,28,5,25609,0.28,3,Laptops Vintage,Metropolitana,67,0
CLI-00208,58,115,158487,1.47,1,Laptops Vintage,Metropolitana,154,0
CLI-00209,45,29,145001,0.1,2,Laptops Vintage,Biobío,12,1
CLI-00210,23,18,85742,1.44,0,Mini PCs / SBC,Araucanía,1,1
CLI-00211,28,9,600000,0.69,2,Laptops Compactas,Metropolitana,2,1
CLI-00212,46,24,202578,0.57,0,Tarjetas Gráficas,Metropolitana,88,1
CLI-00213,39,18,102115,2.7,0,Tarjetas Gráficas,Metropolitana,24,1
CLI-00214,39,50,47546,0.52,0,Laptops Vintage,Antofagasta,26,1
CLI-00215,50,14,21616,0.1,1,Laptops Compactas,Metropolitana,10,1
CLI-00216,36,64,87926,0.25,0,Mini PCs / SBC,Metropolitana,45,1
CLI-00217,43,44,93477,1.2,1,Laptops Compactas,Metropolitana,89,0
CLI-00218,52,5,358239,0.61,0,Tarjetas Gráficas,Biobío,41,1
CLI-00219,35,13,49724,0.92,2,Mini PCs / SBC,Metropolitana,81,0
CLI-00220,69,10,549912,2.17,0,Mini PCs / SBC,Araucanía,5,1
CLI-00221,31,5,129923,0.2,0,Mini PCs / SBC,Valparaíso,7,0
CLI-00222,23,11,80663,0.1,0,Laptops Compactas,Araucanía,25,1
CLI-00223,26,20,158195,1.18,1,Laptops Vintage,Metropolitana,15,0
CLI-00224,27,16,76020,0.27,3,Laptops Compactas,Metropolitana,197,0
CLI-00225,39,20,204426,0.56,0,ThinkPad Business,Metropolitana,133,1
CLI-00226,37,46,126870,0.48,0,Tarjetas Gráficas,Antofagasta,58,1
CLI-00227,31,13,251059,3.48,1,Mini PCs / SBC,Valparaíso,1,1
CLI-00228,33,48,114291,0.1,0,Mini PCs / SBC,Metropolitana,80,1
CLI-00229,34,86,159912,0.29,2,Mini PCs / SBC,Metropolitana,45,1
CLI-00230,30,20,58468,0.83,2,Mini PCs / SBC,Metropolitana,6,0
CLI-00231,41,5,362685,0.9,0,ThinkPad Business,Araucanía,6,1
CLI-00232,42,20,53204,0.1,0,Tarjetas Gráficas,Metropolitana,200,0
CLI-00233,27,22,313583,0.1,2,Laptops Vintage,Metropolitana,119,1
CLI-00234,35,7,178821,0.71,0,Mini PCs / SBC,Biobío,12,1
CLI-00235,39,45,72627,0.43,0,ThinkPad Business,Valparaíso,56,0
CLI-00236,36,3,91686,0.86,1,Laptops Vintage,Metropolitana,10,0
CLI-00237,25,13,151211,0.1,0,Laptops Compactas,Metropolitana,20,1
CLI-00238,18,33,198326,0.85,1,Laptops Compactas,Araucanía,25,0
CLI-00239,30,37,191199,0.1,1,Mini PCs / SBC,Valparaíso,1,1
CLI-00240,36,40,107790,0.1,2,ThinkPad Business,Araucanía,62,0
CLI-00241,25,3,77772,0.1,0,Laptops Vintage,Metropolitana,55,1
CLI-00242,42,23,166660,1.01,0,ThinkPad Business,Biobío,122,1
CLI-00243,44,30,74726,0.1,1,Mini PCs / SBC,Metropolitana,25,0
CLI-00244,40,5,209410,0.6,1,Laptops Vintage,Metropolitana,1,1
CLI-00245,34,7,77231,0.59,0,Mini PCs / SBC,Araucanía,3,1
CLI-00246,53,3,77405,0.1,2,Mini PCs / SBC,Antofagasta,2,1
CLI-00247,32,9,42591,0.35,3,Laptops Vintage,Biobío,36,0
CLI-00248,31,36,164986,0.23,0,ThinkPad Business,Metropolitana,5,1
CLI-00249,35,14,140728,1.11,1,Laptops Compactas,Metropolitana,16,1
CLI-00250,32,22,72187,0.35,1,Mini PCs / SBC,Biobío,91,0
CLI-00251,23,21,99683,2.76,1,Laptops Vintage,Valparaíso,80,1
CLI-00252,34,17,38439,2.84,1,Mini PCs / SBC,Valparaíso,1,1
CLI-00253,49,16,58317,0.24,0,ThinkPad Business,Biobío,17,1
CLI-00254,18,25,182773,0.3,0,Tarjetas Gráficas,Biobío,15,1
CLI-00255,18,30,366967,0.1,0,ThinkPad Business,Valparaíso,56,1
CLI-00256,18,15,472275,0.1,1,Tarjetas Gráficas,Araucanía,33,1
CLI-00257,18,20,132553,0.1,0,Tarjetas Gráficas,Araucanía,182,0
CLI-00258,48,17,99064,0.93,1,ThinkPad Business,Metropolitana,1,1
CLI-00259,47,25,120459,0.67,1,ThinkPad Business,Antofagasta,15,1
CLI-00260,22,14,134762,0.19,1,Mini PCs / SBC,Valparaíso,13,1
CLI-00261,29,8,48025,0.1,3,ThinkPad Business,Biobío,46,1
CLI-00262,18,8,68013,0.26,0,Mini PCs / SBC,Biobío,73,0
CLI-00263,25,6,90030,1.94,0,Laptops Vintage,Araucanía,19,1
CLI-00264,31,115,89118,1.55,0,Tarjetas Gráficas,Metropolitana,6,1
CLI-00265,28,16,140910,1.64,2,Laptops Vintage,Metropolitana,6,1
CLI-00266,35,21,282518,1.17,0,Mini PCs / SBC,Biobío,28,1
CLI-00267,29,48,124778,0.31,1,Laptops Compactas,Metropolitana,43,1
CLI-00268,24,23,56585,1.24,1,Tarjetas Gráficas,Valparaíso,13,1
CLI-00269,35,21,71114,0.86,0,Laptops Compactas,Antofagasta,9,1
CLI-00270,32,51,84159,0.76,0,ThinkPad Business,Biobío,38,1
CLI-00271,49,6,112731,0.83,3,Laptops Vintage,Araucanía,65,0
CLI-00272,32,22,69770,0.53,1,Mini PCs / SBC,Metropolitana,57,1
CLI-00273,40,32,23785,1.68,1,Laptops Compactas,Biobío,47,0
CLI-00274,27,38,373599,0.1,0,Mini PCs / SBC,Araucanía,42,1
CLI-00275,35,58,65692,1.04,1,Mini PCs / SBC,Metropolitana,17,1
CLI-00276,38,29,70968,2.28,0,ThinkPad Business,Metropolitana,10,1
CLI-00277,52,44,175769,0.1,3,Tarjetas Gráficas,Metropolitana,69,1
CLI-00278,43,24,272383,0.28,0,Laptops Compactas,Biobío,15,1
CLI-00279,30,18,167888,0.62,0,ThinkPad Business,Biobío,3,1
CLI-00280,29,17,210245,1.03,2,Tarjetas Gráficas,Metropolitana,59,1
CLI-00281,38,7,188097,2.89,0,Laptops Compactas,Araucanía,84,1
CLI-00282,45,38,160073,0.57,0,ThinkPad Business,Biobío,60,1
CLI-00283,23,9,235246,0.22,1,Mini PCs / SBC,Biobío,15,1
CLI-00284,38,11,156475,0.33,0,Laptops Compactas,Araucanía,16,1
CLI-00285,22,19,63510,0.52,2,Tarjetas Gráficas,Metropolitana,112,0
CLI-00286,42,5,144419,0.16,0,Tarjetas Gráficas,Metropolitana,40,1
CLI-00287,18,25,179157,0.44,0,Tarjetas Gráficas,Antofagasta,61,0
CLI-00288,41,4,55019,0.16,1,Laptops Compactas,Araucanía,227,0
CLI-00289,23,81,229770,1.56,2,Laptops Compactas,Araucanía,9,1
CLI-00290,30,39,142190,1.49,0,Mini PCs / SBC,Antofagasta,54,0
CLI-00291,18,12,187001,0.1,2,Tarjetas Gráficas,Antofagasta,18,1
CLI-00292,52,61,130694,0.1,2,Laptops Vintage,Biobío,111,1
CLI-00293,28,20,396622,0.33,1,ThinkPad Business,Metropolitana,2,1
CLI-00294,27,28,247984,0.5,0,Tarjetas Gráficas,Biobío,17,1
CLI-00295,38,29,193173,0.25,0,Mini PCs / SBC,Metropolitana,84,1
CLI-00296,18,24,96410,0.58,0,Laptops Compactas,Metropolitana,110,1
CLI-00297,34,4,101902,0.3,1,Laptops Compactas,Metropolitana,41,1
CLI-00298,50,3,29913,0.82,0,Tarjetas Gráficas,Araucanía,50,1
CLI-00299,43,20,302999,1.1,0,Laptops Compactas,Biobío,67,1
CLI-00300,53,37,287518,0.73,0,Tarjetas Gráficas,Antofagasta,5,1
CLI-00301,22,5,119834,0.22,1,Mini PCs / SBC,Araucanía,165,0
CLI-00302,44,25,82180,0.11,0,ThinkPad Business,Araucanía,52,1
CLI-00303,22,45,230359,0.64,1,ThinkPad Business,Araucanía,13,0
CLI-00304,18,14,263560,0.61,0,Mini PCs / SBC,Araucanía,2,1
CLI-00305,38,4,58863,0.98,3,Laptops Vintage,Metropolitana,80,0
CLI-00306,55,8,183046,0.17,0,Tarjetas Gráficas,Metropolitana,3,0
CLI-00307,48,40,278866,0.76,0,Laptops Compactas,Biobío,53,1
CLI-00308,21,24,148112,0.15,0,Laptops Compactas,Metropolitana,41,0
CLI-00309,32,18,83565,0.1,2,Laptops Vintage,Metropolitana,48,1
CLI-00310,44,3,141809,0.56,1,ThinkPad Business,Metropolitana,6,1
CLI-00311,40,19,135398,0.98,0,Mini PCs / SBC,Metropolitana,10,1
CLI-00312,35,6,372551,0.23,0,ThinkPad Business,Biobío,99,1
CLI-00313,18,33,146973,0.1,0,Laptops Compactas,Metropolitana,99,1
CLI-00314,28,7,93512,0.1,0,Tarjetas Gráficas,Metropolitana,14,1
CLI-00315,36,40,185711,0.1,3,ThinkPad Business,Metropolitana,3,0
CLI-00316,24,3,346319,0.18,0,ThinkPad Business,Metropolitana,33,1
CLI-00317,38,8,190134,1.1,2,Laptops Vintage,Biobío,29,1
CLI-00318,25,10,43168,0.82,4,Laptops Compactas,Metropolitana,1,0
CLI-00319,30,88,46317,1.69,0,Mini PCs / SBC,Metropolitana,1,1
CLI-00320,31,17,61721,0.45,0,Tarjetas Gráficas,Biobío,28,1
CLI-00321,43,5,168899,0.81,0,Laptops Compactas,Araucanía,16,1
CLI-00322,47,30,176663,0.43,1,Mini PCs / SBC,Metropolitana,1,1
CLI-00323,35,8,262058,0.39,0,Laptops Vintage,Valparaíso,41,1
CLI-00324,47,20,91355,1.67,0,ThinkPad Business,Metropolitana,57,1
CLI-00325,59,8,168581,0.12,0,Mini PCs / SBC,Metropolitana,13,1
CLI-00326,36,3,388590,2.75,0,Tarjetas Gráficas,Metropolitana,42,1
CLI-00327,32,66,344295,0.33,1,Tarjetas Gráficas,Araucanía,7,1
CLI-00328,24,60,180914,0.24,1,Laptops Vintage,Araucanía,1,1
CLI-00329,30,5,42901,0.89,1,Laptops Vintage,Antofagasta,44,1
CLI-00330,46,7,160820,0.51,0,Tarjetas Gráficas,Metropolitana,59,1
CLI-00331,29,66,104911,0.4,0,Laptops Compactas,Metropolitana,12,1
CLI-00332,33,26,93342,0.11,2,ThinkPad Business,Metropolitana,2,0
CLI-00333,53,3,54543,0.64,0,ThinkPad Business,Metropolitana,90,0
CLI-00334,26,26,156533,0.1,0,Tarjetas Gráficas,Valparaíso,33,1
CLI-00335,42,12,64113,0.51,1,Tarjetas Gráficas,Metropolitana,16,0
CLI-00336,29,5,471226,1.69,1,Laptops Compactas,Araucanía,4,1
CLI-00337,18,9,117321,0.11,0,Mini PCs / SBC,Araucanía,109,0
CLI-00338,45,10,350382,0.49,0,ThinkPad Business,Biobío,40,1
CLI-00339,33,20,250593,0.45,1,Laptops Compactas,Antofagasta,52,1
CLI-00340,50,3,122184,0.72,1,Laptops Vintage,Valparaíso,72,0
